"idno","cntry","essround","gndr","agea","domicil","hinctnta","eduyrs","wkhtot","tvtot","hhmmb","ipcrtiv","ipadvnt","ipgdtim","ipsuces","imprich","impsafe","imptrad","ipfrule","iphlppl","ipeqopt","trstplc","trstplt","trstlgl","polintr","bctprd","sgnptit","stflife","happy","health","sclmeet","sclact","rlgblg","rlgdgr","pray","rlgatnd"
101113,"DE",4,1,68,3,4,11,45,6,2,3,4,2,5,5,3,2,4,2,3,7,2,7,2,2,2,8,8,2,4,3,2,2,7,7
101131,"DE",4,2,45,3,77,13,777,4,4,5,5,5,5,5,2,1,2,2,2,8,5,6,3,2,2,9,7,2,5,2,1,8,7,4
101208,"DE",4,1,22,3,4,10,37,4,3,2,3,2,3,5,1,2,2,3,2,10,5,10,2,2,2,10,10,2,7,3,2,5,6,7
101211,"DE",4,2,37,3,77,13,20,5,3,2,5,4,2,6,2,2,1,2,1,10,4,4,3,2,1,7,8,1,4,3,2,0,7,7
101217,"DE",4,1,21,3,77,10,54,5,6,3,2,1,3,4,4,4,5,2,3,4,2,5,2,2,1,10,8,3,6,3,2,0,7,7
101223,"DE",4,1,17,3,77,10,666,4,4,1,2,3,5,5,5,1,2,3,2,8,2,5,4,2,2,9,9,2,7,3,2,2,7,7
101238,"DE",4,2,24,3,3,16,39,3,1,1,5,3,1,3,1,4,5,1,2,3,1,3,2,1,2,10,10,2,7,3,1,5,2,5
101315,"DE",4,1,42,3,77,12,20,7,3,1,4,2,3,5,3,2,2,2,2,7,0,0,4,2,2,5,6,4,3,3,1,5,7,6
101321,"DE",4,2,28,3,77,11,19,2,3,3,6,3,2,5,1,3,2,1,1,6,1,4,4,2,2,6,8,4,3,1,1,5,7,5
101333,"DE",4,2,61,3,7,14,35,3,2,2,4,4,2,5,2,3,3,2,2,5,4,5,2,2,1,7,8,1,4,2,1,5,4,5
102105,"DE",4,2,58,3,4,12,41,2,4,1,3,4,3,3,3,2,3,3,3,3,3,3,1,2,1,2,2,1,2,2,1,2,1,2
102108,"DE",4,1,49,2,3,12,36,3,1,3,3,4,5,2,3,4,4,3,3,2,0,4,3,2,2,7,6,4,4,2,2,0,7,7
102114,"DE",4,1,53,3,8,29,50,2,4,2,5,2,3,4,2,1,5,2,2,8,3,7,2,2,2,9,8,2,4,3,1,8,4,6
102117,"DE",4,1,30,3,5,13,38,3,4,3,3,3,5,2,2,3,4,3,4,9,3,6,3,2,2,8,8,1,5,3,1,3,6,5
102120,"DE",4,1,74,3,5,12,60,7,2,1,5,2,5,4,3,3,3,2,3,8,0,7,1,1,2,7,6,3,3,2,1,3,6,6
102126,"DE",4,2,24,3,6,13,666,2,3,2,4,1,3,3,4,3,3,3,1,5,8,7,3,2,2,8,7,1,6,3,1,2,6,6
102135,"DE",4,1,25,3,1,11,666,7,2,4,2,1,2,2,5,2,4,3,4,0,0,0,4,8,2,6,5,1,7,3,2,0,7,7
102203,"DE",4,1,79,3,4,9,40,6,2,5,5,3,3,2,1,2,3,1,2,8,3,6,3,2,1,6,7,3,4,3,2,1,7,7
102206,"DE",4,1,40,3,77,14,42,6,4,3,3,4,2,4,5,2,4,2,2,8,7,10,2,2,2,8,8,1,5,3,2,0,7,7
102209,"DE",4,1,52,3,4,11,38,5,1,4,6,2,3,3,2,3,4,2,1,9,6,8,2,2,2,7,8,2,2,2,2,0,7,6
102212,"DE",4,1,58,3,2,15,39,5,1,1,5,1,3,5,3,3,5,2,1,6,6,6,1,1,2,7,8,2,4,4,1,6,3,6
102218,"DE",4,1,58,3,77,13,65,7,2,2,3,3,2,2,2,3,4,3,4,6,0,4,3,1,1,6,7,2,4,4,1,3,7,6
102221,"DE",4,1,67,3,8,12,666,5,2,1,5,3,4,5,5,3,5,2,1,4,5,4,1,1,1,9,8,2,5,3,1,3,6,6
102227,"DE",4,1,42,3,77,17,36,4,4,1,3,3,1,4,1,4,1,1,2,10,6,8,2,2,2,7,6,1,4,2,1,4,7,5
102230,"DE",4,2,37,1,3,11,30,5,2,3,3,2,2,5,5,4,2,5,5,6,1,4,4,2,2,8,5,3,4,2,1,4,5,5
102304,"DE",4,1,19,3,77,12,666,5,3,1,1,2,1,4,5,4,3,3,2,7,3,6,3,2,1,4,9,1,6,3,2,0,7,7
102313,"DE",4,2,64,3,6,15,30,6,2,4,5,2,3,5,1,2,3,3,3,8,3,7,3,2,2,6,8,2,5,4,1,2,6,6
102319,"DE",4,2,79,3,3,13,45,7,1,1,3,1,5,4,2,1,3,2,2,8,3,6,2,2,1,8,2,2,4,4,1,7,6,5
102322,"DE",4,2,67,3,1,11,38,7,1,4,6,4,5,5,4,3,4,2,2,8,0,7,4,2,2,8,6,3,4,2,1,1,7,5
102331,"DE",4,2,26,3,3,10,36,7,4,5,4,3,3,3,1,4,1,2,2,10,0,10,4,2,2,10,10,1,6,3,2,0,7,5
103104,"DE",4,2,53,2,77,9,26,3,3,2,5,1,2,6,1,2,4,1,5,10,4,8,2,2,1,10,10,2,6,3,1,7,5,5
